Date,State/UnionTerritory,Cured,Deaths
30-01-2020,Kerala,0,0
31-01-2020,Kerala,0,0
01-02-2020,Kerala,0,0
02-02-2020,Kerala,0,0
03-02-2020,Kerala,0,0
04-02-2020,Kerala,0,0
05-02-2020,Kerala,0,0
06-02-2020,Kerala,0,0
07-02-2020,Kerala,0,0
08-02-2020,Kerala,0,0
09-02-2020,Kerala,0,0
10-02-2020,Kerala,0,0
11-02-2020,Kerala,0,0
12-02-2020,Kerala,0,0
13-02-2020,Kerala,0,0
14-02-2020,Kerala,0,0
15-02-2020,Kerala,0,0
16-02-2020,Kerala,0,0
17-02-2020,Kerala,0,0
18-02-2020,Kerala,0,0
19-02-2020,Kerala,0,0
20-02-2020,Kerala,0,0
21-02-2020,Kerala,0,0
22-02-2020,Kerala,0,0
23-02-2020,Kerala,0,0
24-02-2020,Kerala,0,0
25-02-2020,Kerala,0,0
26-02-2020,Kerala,0,0
27-02-2020,Kerala,0,0
28-02-2020,Kerala,0,0
29-02-2020,Kerala,0,0
01-03-2020,Kerala,0,0
02-03-2020,Telengana,0,0
02-03-2020,Kerala,0,0
02-03-2020,Delhi,0,0
03-03-2020,Telengana,0,0
03-03-2020,Rajasthan,0,0
03-03-2020,Kerala,3,0
03-03-2020,Delhi,0,0
04-03-2020,Uttar Pradesh,0,0
04-03-2020,Kerala,3,0
04-03-2020,Haryana,0,0
04-03-2020,Delhi,0,0
04-03-2020,Telengana,0,0
04-03-2020,Rajasthan,0,0
05-03-2020,Delhi,0,0
05-03-2020,Haryana,0,0
05-03-2020,Kerala,3,0
05-03-2020,Rajasthan,0,0
05-03-2020,Telengana,0,0
05-03-2020,Uttar Pradesh,0,0
06-03-2020,Delhi,0,0
06-03-2020,Haryana,0,0
06-03-2020,Kerala,3,0
06-03-2020,Rajasthan,0,0
06-03-2020,Uttar Pradesh,0,0
06-03-2020,Telengana,0,0
07-03-2020,Kerala,3,0
07-03-2020,Uttar Pradesh,0,0
07-03-2020,Ladakh,0,0
07-03-2020,Telengana,0,0
07-03-2020,Tamil Nadu,0,0
07-03-2020,Delhi,0,0
07-03-2020,Haryana,0,0
07-03-2020,Rajasthan,0,0
08-03-2020,Ladakh,0,0
08-03-2020,Telengana,0,0
08-03-2020,Tamil Nadu,0,0
08-03-2020,Rajasthan,0,0
08-03-2020,Kerala,3,0
08-03-2020,Haryana,0,0
08-03-2020,Delhi,0,0
08-03-2020,Uttar Pradesh,0,0
09-03-2020,Ladakh,0,0
09-03-2020,Karnataka,0,0
09-03-2020,Kerala,3,0
09-03-2020,Maharashtra,0,0
09-03-2020,Punjab,0,0
09-03-2020,Rajasthan,0,0
09-03-2020,Tamil Nadu,0,0
09-03-2020,Telengana,0,0
09-03-2020,Jammu and Kashmir,0,0
09-03-2020,Uttar Pradesh,0,0
09-03-2020,Haryana,0,0
09-03-2020,Delhi,0,0
10-03-2020,Uttar Pradesh,0,0
10-03-2020,Ladakh,0,0
10-03-2020,Delhi,0,0
10-03-2020,Haryana,0,0
10-03-2020,Karnataka,0,0
10-03-2020,Kerala,3,0
10-03-2020,Maharashtra,0,0
10-03-2020,Punjab,0,0
10-03-2020,Rajasthan,0,0
10-03-2020,Tamil Nadu,0,0
10-03-2020,Telengana,0,0
10-03-2020,Jammu and Kashmir,0,0
11-03-2020,Maharashtra,0,0
11-03-2020,Delhi,0,0
11-03-2020,Haryana,0,0
11-03-2020,Kerala,3,0
11-03-2020,Rajasthan,0,0
11-03-2020,Telengana,0,0
11-03-2020,Uttar Pradesh,0,0
11-03-2020,Ladakh,0,0
11-03-2020,Tamil Nadu,0,0
11-03-2020,Jammu and Kashmir,0,0
11-03-2020,Punjab,0,0
11-03-2020,Karnataka,0,0
12-03-2020,Delhi,0,0
12-03-2020,Haryana,0,0
12-03-2020,Kerala,3,0
12-03-2020,Rajasthan,0,0
12-03-2020,Telengana,0,0
12-03-2020,Uttar Pradesh,0,0
12-03-2020,Ladakh,0,0
12-03-2020,Tamil Nadu,0,0
