Date,State,TotalSamples,Positive,Negative
17-04-2020,Andaman and Nicobar Islands,1403,12,1210
24-04-2020,Andaman and Nicobar Islands,2679,27,
27-04-2020,Andaman and Nicobar Islands,2848,33,
01-05-2020,Andaman and Nicobar Islands,3754,33,
16-05-2020,Andaman and Nicobar Islands,6677,33,
19-05-2020,Andaman and Nicobar Islands,6965,33,
20-05-2020,Andaman and Nicobar Islands,7082,33,
21-05-2020,Andaman and Nicobar Islands,7167,33,
22-05-2020,Andaman and Nicobar Islands,7263,33,
23-05-2020,Andaman and Nicobar Islands,7327,33,
24-05-2020,Andaman and Nicobar Islands,7327,33,
25-05-2020,Andaman and Nicobar Islands,7363,33,
26-05-2020,Andaman and Nicobar Islands,7448,33,
27-05-2020,Andaman and Nicobar Islands,7499,33,
28-05-2020,Andaman and Nicobar Islands,7519,33,
29-05-2020,Andaman and Nicobar Islands,7567,33,
30-05-2020,Andaman and Nicobar Islands,7567,33,
31-05-2020,Andaman and Nicobar Islands,7706,33,
01-06-2020,Andaman and Nicobar Islands,7805,33,
02-06-2020,Andaman and Nicobar Islands,8086,33,
03-06-2020,Andaman and Nicobar Islands,8295,33,
04-06-2020,Andaman and Nicobar Islands,8413,33,
05-06-2020,Andaman and Nicobar Islands,8694,33,
06-06-2020,Andaman and Nicobar Islands,9037,33,
07-06-2020,Andaman and Nicobar Islands,9242,33,
08-06-2020,Andaman and Nicobar Islands,9341,33,
09-06-2020,Andaman and Nicobar Islands,9859,33,
10-06-2020,Andaman and Nicobar Islands,10010,35,
11-06-2020,Andaman and Nicobar Islands,10226,38,
12-06-2020,Andaman and Nicobar Islands,10697,38,
13-06-2020,Andaman and Nicobar Islands,10955,38,
14-06-2020,Andaman and Nicobar Islands,11356,38,
15-06-2020,Andaman and Nicobar Islands,11518,41,
16-06-2020,Andaman and Nicobar Islands,11809,44,
17-06-2020,Andaman and Nicobar Islands,12239,44,
18-06-2020,Andaman and Nicobar Islands,12622,45,
19-06-2020,Andaman and Nicobar Islands,12930,47,
20-06-2020,Andaman and Nicobar Islands,13320,47,
21-06-2020,Andaman and Nicobar Islands,13434,48,
22-06-2020,Andaman and Nicobar Islands,13511,48,
23-06-2020,Andaman and Nicobar Islands,13723,50,
24-06-2020,Andaman and Nicobar Islands,13994,56,
25-06-2020,Andaman and Nicobar Islands,14277,59,
26-06-2020,Andaman and Nicobar Islands,14583,72,
02-04-2020,Andhra Pradesh,1800,132,1175
10-04-2020,Andhra Pradesh,6374,365,6009
11-04-2020,Andhra Pradesh,6958,381,6577
12-04-2020,Andhra Pradesh,6958,405,6553
